account_id,customer_id,product_id,account_number,opening_date,current_balance,account_status,currency,last_transaction_date
1,36,2,522531200410,2022-04-11,926.48,Active,USD,2023-08-20
2,20,10,628681225263,2023-03-27,1353173.16,Active,USD,2025-11-19
3,272,14,631726830504,2025-03-01,19123.7,Dormant,USD,2026-02-14
4,120,1,758346617364,2025-11-01,20491.47,Dormant,USD,2025-12-07
5,162,10,217520053890,2026-02-25,978060.75,Active,USD,2026-03-12
6,286,10,504494520664,2023-10-29,726672.72,Active,SGD,2023-12-13
7,83,1,659266839173,2025-12-28,16988.05,Active,USD,2026-02-20
8,20,10,776030622033,2025-10-24,431130.91,Active,SGD,2026-02-19
9,266,13,135196168215,2020-06-07,25576.34,Dormant,USD,2022-08-02
10,205,10,536667873501,2026-02-16,302064.95,Active,USD,2026-02-25
11,142,2,599051685688,2024-08-03,28787.85,Closed,USD,
12,276,13,588312835789,2022-12-27,28202.11,Closed,USD,
13,60,13,516901971065,2025-12-16,49710.48,Active,USD,2026-01-23
14,48,14,923232264034,2025-10-23,3893.84,Dormant,GBP,2025-12-18
15,121,2,391511209312,2025-02-20,10218.05,Active,USD,2025-07-05
16,191,13,735212777188,2023-12-18,24591.19,Dormant,SGD,2026-01-24
17,277,1,480115236641,2024-11-01,34348.3,Active,USD,2025-01-03
18,133,2,390118870701,2025-12-28,23620.13,Active,USD,2026-02-19
19,144,14,727837843552,2020-04-20,28837.05,Active,USD,2022-02-13
20,77,14,112050253883,2020-04-21,25029.93,Active,SGD,2024-12-12
21,291,1,209085305563,2021-01-02,3095.82,Active,EUR,2021-11-23
22,132,10,551056758184,2025-09-14,1301318.14,Active,SGD,2025-11-11
23,262,10,910781353367,2022-04-12,119454.47,Active,USD,
24,176,2,449238746179,2024-11-26,35550.63,Active,USD,2026-01-13
25,12,2,360823796483,2023-09-01,47027.82,Active,USD,2023-12-29
26,43,1,779732056668,2025-01-20,32776.15,Active,GBP,
27,183,13,623402930260,2025-05-29,43557.82,Active,GBP,2025-07-10
28,274,10,481860917279,2024-10-07,342238.41,Active,USD,2025-02-27
29,274,10,627230740659,2025-04-02,1149272.07,Active,EUR,2025-10-15
30,200,14,388710246095,2021-09-11,31303.62,Active,USD,2022-07-06
31,36,2,418414375678,2025-07-25,22821.62,Active,USD,2025-08-27
