customer_id,first_name,last_name,date_of_birth,email,phone_number,address,customer_segment,onboarding_date,customer_status,customer_preferences
1,Danielle,Johnson,1955-05-25,danielle.johnson.1@hotmail.com,581-296-0013,"79402 Peterson Drives Apt. 511, Davisstad, PA 35172",Affluent,2018-12-19,Active,"{""preferred_channel"": ""Phone"", ""language"": ""en"", ""marketing_opt_in"": true, ""risk_appetite"": ""high""}"
2,Linda,Morales,2002-04-24,linda.morales.2@hotmail.com,001-653-876-7242x388,,Mass Market,2016-11-16,Active,"{""preferred_channel"": ""Branch"", ""language"": ""zh"", ""marketing_opt_in"": true, ""risk_appetite"": ""high""}"
3,Andrew,Hickman,1996-10-09,andrew.hickman.3@yahoo.com,403.491.1718,"8963 Jennifer Locks, Samuelhaven, NV 16361",Mass Market,2025-01-01,Churned,
4,Donald,White,1999-09-07,donald.white.4@gmail.com,581.808.0132x677,"PSC 2606, Box 4746, APO AP 96249",Mass Market,2020-11-03,Active,"{""preferred_channel"": ""Phone"", ""language"": ""zh"", ""marketing_opt_in"": true, ""risk_appetite"": ""low""}"
5,Joe,Wilson,1956-12-17,joe.wilson.5@hotmail.com,5917699854,"47510 Howell Port Apt. 183, Davidstad, FM 09517",Affluent,2025-02-13,Active,"{""preferred_channel"": ""Phone"", ""language"": ""es"", ""marketing_opt_in"": true, ""risk_appetite"": ""medium""}"
6,Ronald,Smith,2000-04-08,ronald.smith.6@gmail.com,+1-605-798-2620,,Mass Market,2016-12-19,Prospect,"{""preferred_channel"": ""Branch"", ""language"": ""zh"", ""marketing_opt_in"": true, ""risk_appetite"": ""low""}"
7,Benjamin,Carlson,1993-09-11,benjamin.carlson.7@yahoo.com,+1-581-769-3406x088,"514 Estrada Islands Suite 482, South Elizabeth, MS 89278",Mass Market,2019-09-03,Prospect,"{""preferred_channel"": ""Email"", ""language"": ""en"", ""marketing_opt_in"": true, ""risk_appetite"": ""low""}"
8,Grace,Stafford,2000-06-06,grace.stafford.8@yahoo.com,428.970.8317,"9868 Merritt Summit Suite 743, Katiehaven, NM 82650",Student,2024-10-27,Active,"{""preferred_channel"": ""Mobile App"", ""language"": ""en"", ""marketing_opt_in"": false, ""risk_appetite"": ""low""}"
9,Elizabeth,Yates,1997-05-16,elizabeth.yates.9@gmail.com,+1-280-669-9016x272,"5564 King Common, Smithside, AR 46371",SME,2023-06-17,Active,"{""preferred_channel"": ""Mobile App"", ""language"": ""zh"", ""marketing_opt_in"": false, ""risk_appetite"": ""medium""}"
10,Hannah,Burton,1992-09-30,hannah.burton.10@hotmail.com,+1-819-905-8651x850,"726 Jessica Run Suite 987, Grahamshire, KY 42746",Mass Market,2017-03-27,Active,"{""preferred_channel"": ""Branch"", ""language"": ""en"", ""marketing_opt_in"": true, ""risk_appetite"": ""low""}"
